breed,description
hamiltonstovare,hamiltonstovare commonly multipurpose dogs hunters show dogs pets one regal versatile little package hound follow nose wherever goes return good long leashes fences necessity breed unlike scent hounds though hamiltonstovare extremely high prey drive scent sight make excellent lure coursing dogs home lazy low maintenance dog rarely sheds food motivated easy train despite hound stubbornness higher competitive obedience levels usually option major problem breed accessibility one breeder hamiltonstovare united states unfortunately hamiltonstovare rescue problem us well found rural shelters virginia north carolina west virginia kentucky south carolina tennessee club contact detailsclub hamiltonstovare club americaname ashley hammockemail oceaniahamiltonhotmailcomaddress 2311 chapel hill rd goochland va 23063 hamiltonstovare versatile scent hound bred hunt hare fox sweden hunting found show ring striking color makes stunning show dog hamiltons used service dogs america since late 90s versatility close bond people shine agile versatile regal foundation stock service occasional bathbrush infrequent energetic agreeable friendly medium medium light
hanoverian scenthound,hailing germany hanoverian scenthound hannoverscher schweißhund native language general appearance highly efficient hanoverian mediumlarge size well proportioned powerful well set strongly muscled fore hind limbs qualify tireless work broad deep chest provides ample room lungs enables long strenuous chases slightly wrinkled forehead clear dark eyes produce serious expression typical hanoverian scenthound also typical breed red primary color coat vary pale fawn color dark brindle appearing almost black hanoverian scenthound calm assured temperament time sensitive handler choosy discerning strangers high capabilities concentration tracking work strong loyalty hunter charge loyal independent calm foundation stock service occasional bathbrush infrequent regular exercise independent reserved strangers medium medium light
harrier,somewhat resembling beagle gym membership harriers larger powerful hounds diminutive cousin—but smaller english foxhound breed used development standing 19 21 inches shoulder harriers timeless look working pack hound short smartlooking coat lowset velvety ears irresistibly sweet face enough muscle sinew endure long day’s hunt wellbuilt harrier cover ground smooth efficient gait harrier swift preydriven pack hound medium size first bred medieval england chase hare outgoing friendly harrier much larger beagle smaller another close relative english foxhound friendly outgoing peopleoriented hound weekly brushing occasional needs lots activity easy training friendly medium medium light
havanese,distinctive features havanese include curledover tail gorgeous silky coat comes variety colors owners enjoy cording coat manner puli others clip short reduce grooming time happily havenese cute matter hairdo give themtheir small sturdy bodies adaptable nature social skills make havanese ideal city dog content anywhere command attention admirers young old alike havanese smart trainable extroverts comic instincts born clown natural trick dogs havanese also excellent watchdogs take job seriously usually keep barking minimum havanese dog breed native cuba cheerful little dogs spring step gleam big brown eyes vivacious sociable companions becoming especially popular american city dwellers intelligent outgoing funny toy 23 times week brushing occasional regular exercise easy training outgoing medium short light
hokkaido,hokkaido mediumsized stronglybuilt dog longer thicker coats japanese breeds also wider chests smaller ears like nihon ken double coat made protective coarse outer guard hairs fine thick undercoat shed seasonally breed comes several colors white red black brindle sesame wolf grey early training hokkaido loyal dedicated companion wants please human family incredibly intelligent thinkers problem solvers excel tasks given socialized properly however hokkaido become wary strangers protective families breed extremely rare outside native country japan estimated population around 1000012000 yearly registrations 9001000 hokkaido dog noteworthy endurance dignity temperament faithful docile alert bold also shows accurate judgement great stamina dignified alert devoted foundation stock service weekly brushing seasonal energetic nan nan medium medium light
hovawart,physically hovawarts large heavyboned dogs bred intelligent guardians livestock home come three colors blonde black tan black alert faithful trustworthy extremely intelligent funloving stubborn hovawart likes job use creative nature find one take approximately two years mature currently hovawarts north america participating search rescue organizations therapy dog activities obedience trials agility trials flyball service dog training owning hovawart quite challenge require significant time attention owners recommended firsttime dog owners however owner willing expend effort teach dog appropriate behaviors different situations reward faithful companion hovawart family dog develops strong bond “pack” must part family life needs bond closely ownerfamily well integrated family mind spending occasional hour kennel club contact detailsclub hovawart club north americaemail infohovawartcluborg hovawart mediumtemperament working dog versatile usage good nose kind even disposition protective instinct selfconfident ability take stress balanced body proportions special devotion family make outstanding companion watch guard tracking rescuedog alert faithful intelligent foundation stock service occasional bathbrush seasonal regular exercise may stubborn reserved strangers medium tall light
ibizan hound,ibizans lithe leggy visitors dawn civilization art history students recognize elongated head large erect ears familiar motif ancient egypt elegant racy body stands 225 275 inches shoulder coat colors solid red white red white patterns rosycolored leathers nose eye rims lips—along amber caramel eyes—perfectly complement coat breed’s quiet grace often described deerlike ibizan hound lithe leggy visitor dawn civilization bred rabbit courser rocky shores spain’s balearic islands worldclass sprinters leapers ibizans need ample space air engines familyoriented eventempered polite hound occasional bathbrush occasional needs lots activity independent reserved strangers medium tall light
icelandic sheepdog,icelandics one 50 northern breeds around world classified spitzes breed’s “spitziness” expressed dense coat foxy face pointed ears bushy curling tail icelandics standing higher 18 inches shoulder we’d consider medium sized come several predominant colors always accompanied white markings endearing trait facial expression friendly happy always looking though there’s place they’d rather icelandic sheepdog iceland’s native dog breed charmingly friendly faithful allaround herder smalltomedium size densely coated nordic spitztype breed icelandics enthusiastically devoted humans friendly playful inquisitive herding weekly brushing seasonal energetic eager please friendly medium medium light
irish red and white setter,sportsmen thrill sight noble red white frozen point motionless statue mediumtolarge bird dogs powerful solid sinewy enough stamina bird sense get job done day week twice sunday stunning coat—vivid red “islands” floating sea pearl white—has practical function enables hunters spot dog distance handsome face projects keen kindly expression rollicking irish red white setter athletic mediumsized bird dog bred primarily hunting funloving friendly highspirited irish red whites bit shorter stockier cousin irish setter courageous spirited determined sporting weekly brushing nan needs lots activity easy training friendly medium tall light
irish setter,irish setter described partisans beautiful dog breeds standing two feet shoulder substantial yet elegant build irish famed brilliant coat mahogany chestnut long sinewy legs powerful rear drive help place irish among swiftest sporting dogsthe irish setter’s lovable personality endeared breed sportsmen pet owners 200 years irish outgoing dogs enjoy making friends rambunctious redheads big kids heart eager please respond patient positive training said bold rugged hunting partners devilmaycare approach work irish setter highspirited gundog known grace swiftness flashy red coat famously good family dogs sweettempered companions folks rollicking playmates tennisball fetchers children active outgoing sweetnatured sporting 23 times week brushing seasonal needs lots activity agreeable outgoing medium tall light
irish terrier,irish terriers prototype longlegged terrier standing 18 inches shoulder they’re sturdy lithe graceful every line body eyecatching overall picture beautifully balanced tight red coat fiery breed’s temperament dog lover’s delight heart doesn’t go pittypat sight technicolor terrier framed vivid greens irish countryside forget dogs buy goldfish irish terrier “daredevil” emerald isle bold dashing courageous terrier medium size known fiery red coat temperament match irish terrier stouthearted work tenderhearted home bold dashing tenderhearted terrier occasional bathbrush nan regular exercise agreeable alertresponsive medium medium light
irish water spaniel,standing 21 24 inches shoulder weighing 55 65 pounds irish water spaniel straddles line “medium” “large” dogs scale size among distinguishing characteristics crisply curled livercolored waterproof coat tapered “rat tail” cleanly chiseled head crowned topknot long loose curls iws moves smooth groundcovering gait enabling put long day’s work field tallest akc’s spaniels irish water spaniel instantly recognizable crisply curled coat tapering “rat tail” among champion swimmers dogdom alert inquisitive iws hardworking brave field playfully affectionate home playful hardworking brave sporting weekly brushing seasonal needs lots activity easy training reserved strangers medium medium light
irish wolfhound,amiable irish wolfhound immense muscular hound gracefully built along classic greyhound lines capable great speed gallop male might stand nearly 3 feet shoulder weigh 180 pounds females run smaller still whole lot hound rough hard coat comes many colors including white gray brindle red black fawniws serene fierce guard dogs sight enough deter intruders iws characteristically patient kids though animals size supervised around small children owning irish wolfhound unique rewarding experience—but acquiring giant galloping hound commitment big dog calm dignified kindly irish wolfhound tallest akc breeds fearless biggame hunters capable dispatching wolf single combat wolfhounds today serene agreeable companions courageous dignified calm hound weekly brushing seasonal regular exercise independent alertresponsive short tall medium
italian greyhound,igs greyhounds miniature—more slender greyhound’s equal grace elegance standing ideally 13 15 inches shoulder present sleek curving lines common coursing hounds distinguishing features long fineboned legsigs combine attentiveness lapdogs complexity ancient aristocratic hounds bred centuries doting companions jesters highstepping charmers refuse ignored “on whole” writes ig expert “the breed would much rather lap bed floor” though true sighthounds bolt quickmoving prey drop cat shortcoat lowfat breed igs require extra care cold weather true greyhound miniature elegant italian greyhound alert playful highly affectionate toy companion igs make decorative couch dogs heart flashanddash coursing hounds instinct pursuit playful alert sensitive toy occasional bathbrush seasonal regular exercise independent aloofwary medium short light
jagdterrier,jagdterrier versatile hunting dog germany german jagdterrier literally means “hunt terrier” particularly suited hunting ground flushing dog relatively small compact wellproportioned dense coat either hard rough course smooth usually black tan dark brown grayishblack well tan markings eyebrows muzzle chest legs base tail could also small white markings chest toes also known deutscher jagdterrier jagdterrier courageous enduring vital full temperament reliable sociable trainable always takes pleasure work courageous intelligent hardworking foundation stock service nan nan nan nan nan medium short light
japanese chin,chin unrivaled noblemen japanese breeds they’re tiny “indoorsy” companions unmistakably eastern look bearing head large muzzle short round dark eyes convey chin fans like say “look astonishment” profuse mane around neck shoulders plumed tail arching back pants “culottes” hind legs project elegant exotic appearance typical asia’s royal line laptop cuddle bugs japanese chin charming toy companion silky profuse coat unmistakably aristocratic bearing often described distinctly “feline” breed bright amusing lapdog fastidious graceful generally quiet charming noble loving toy weekly brushing seasonal regular exercise independent reserved strangers medium short light
japanese spitz,japanese spitz companion breed enjoy company families truly little comedians love please family thus eager learn always smile face distinctive features include pure white coat manelike feature neck also like spitz breeds tails curl back beautiful hair plume pointed muzzle likens fox black nose black eye rims ears pointed triangles stand erect move like radar towers hearing everything going around making breed alert japanese spitz little comedians want make happy laugh loyal smart make wonderful companions game adventures tag along hike car ride trip beach lake love humans enjoy loyal playful smart foundation stock service weekly brushing occasional regular exercise easy training friendly medium short light
jindo,korea jindo dog wellproportioned mediumsized dog used hunting guarding erect ears rolled sickleshaped tail vivid expression agility strength alertness dignitythe jindo strong instinct hunting bold brave alert careful tempted easily impetuous extremely faithful master whole fond animals especially males also good sense direction oneman dog readily accepts new master never forgets attachment towards former master raised puppyhood keeps clean eats sparingly club contact detailsclub korean jindo association americaname ann kimemail jindojunkieyahoocom loyal watchful intelligent jindo developed breed island coast south korea mediumsized natural appearance valued independent hunters discerning guardians loyal companions alert intelligent bold foundation stock service weekly brushing seasonal energetic independent reserved strangers medium medium light
kai ken,kai ken athletic intelligent strong desire hunt kai independent thinker form strong bond family excellent swimmers climbers known climb trees swim rivers pursuit game kai distinct brindle coat comes three colors black brindle kurotora brindle chutora red brindle akatora red brindle rarest coat colors distinct coloring brindle pattern enabled dog blend mountainous forests hunted camouflaging prey predators ancient times amount brindle vary dog dog well brindle pattern puppies born completely black brindle emerge age continue change around first five years life home kai ken requires basic canine care kept apartment setting provided receive regular exercise form leashed walks naturally clean breed bathing limited dirty brushing recommended especially twiceayear coat blowing club contact detailsclubkai ken society americaname stacey pestel communications officeraddress 1808 penfield ct columbus oh 43227emailclubkaisocietyorgphone 6143138456 kai ken mediumsized dog one six native japanese breeds nihon ken traditionally used hunt wide range game mountains japan kai ken considered rare breed even japan kai highly intelligent learns quickly seem learn fast japanese breeds faster independent willing please companions japanese describe kai ken trustworthy guardian extremely devoted master loyal agile keen foundation stock service occasional bathbrush seasonal energetic independent reserved strangers medium medium light
karelian bear dog,karelian bear dog mediumsized spitz dense coat bred hunt large aggressive game build reflects duties silent hunter barks game stopped treed working experienced hunter communicates type animal located sound bark though demonstrate selfcontrol around people fighting spirit surfaces around dogs difficult handle spirit easily turns aggression karelian bear dogs love challenge club contact detailsclub american karelian bear dog alliancename maureen griffinemail nytwindcomcastnetphone 8604349198 karelian bear dog eager hunter independent yet works cooperatively mark game barking senses especially smell sharp thus breed suitable big game hunting good sense direction balanced courageous persistent breed highly developed spirit game selfconfident may territorial towards males never aggressive towards people though may slightly reserved loyal independent courageous foundation stock service occasional bathbrush seasonal calm nan nan medium medium light
keeshond,square sturdy companions descend ancient stock spitz types pomeranians samoyeds typically “spitzy” keeshonden foxy face pointed ears abundant coat plumed tail carried high back unique breed characteristic—and one charming hallmarks dogdom—is “spectacles” shadings markings around eyes give impression kees wearing designer eyewear specs draw attention alert intelligent expression amiable keeshond mediumsized spitz dog ample coat famous distinctive “spectacles” foxy face fixture canal barges native holland kees remains symbol dutch patriotism friendly lively outgoing nonsporting 23 times week brushing seasonal regular exercise easy training friendly medium medium light
kerry blue terrier,course begin showstopping coat turns heads wherever kerries go comes shades blue—from deep slate light bluegray—and soft it’s pleasing touch eye dense coat covers muscular welldeveloped body standing 20 inches shoulder weighing 40 pounds sporty beard dark keen eyes accentuate nobility long terrier head among largest akc terriers kerry blue terrier famous showstopping blue coat named irish county birth onetime farm dog today alert adaptable animated watchdog family companion smart alert peopleoriented terrier 23 times week brushing nan regular exercise may stubborn alertresponsive medium medium light
kishu ken,kishu ken great dog active person ability easygoing house dog mediumsized well balanced muscles well developed pricked ears curled sickle tail kishus loving affectionate families need included activities great kids raised often aloof strangers kishu ken high prey drives might like give chase small animals raised small animal cat could well kishus can’t help give instincts club contact detailsclub american kishu ken clubname carleen newmanemail kishuken1gmailcom club national kishu clubname cj hammond – presidentemail infokishuclubcom kishu ken dog noteworthy endurance showing nobility dignity naive feeling temperament faithful docile alert faithful noble docile foundation stock service occasional bathbrush seasonal energetic independent reserved strangers medium medium light
komondor,hungarianlanguage tip day plural komondor komondorok let’s take look dog see large powerful guardian covered profuse white cords big male stand 275 inches weigh 100 pounds heavy bone deep chest lots muscle despite brawn komondorok agile lightfooted move long strides unique look it’s impossible mistake koms anything else powerfully large hungarian flock guardian covered profuse white cords head tail komondor among world’s recognizable breeds independent protective kom requires firm experienced hand training loyal dignified brave working specialtyprofessional seasonal regular exercise independent reserved strangers medium tall light
kromfohrlander,kromfohrlander intelligent funny agile dog loves climb jump easily excels agility dogtrick training fussy food come two coat types wirehaired beard smooth haired smooth face beard beautiful long soft hair breed’s nickname north america “kromi” kromeee kromfohrlander bred companion retains little hunting instinct despite terrier heritage often longlived 1718 years old good children family tends oneperson dog attached owner run away first alert strangers club contact detailsclub kromfohrlander club americaname mary dixonemail kromiclubgmailcomphone 7342772270 kromfohrlander mediumsized companion breed sensitive loving loyal owners distinctive smile sneeze greet pronunciation breed kromeforlahndair intelligent active sensitive foundation stock service 23 times week brushing regularly regular exercise agreeable reserved strangers medium medium light
kuvasz,imposing impressive majestic massive mighty—pick adjective like best apply kuvasz pronounced koovahz plural kuvaszok pronounced koovahsock snowwhite livestock guardian luxuriant coat stand high 30 inches shoulder weigh 70 110 pounds despite size strength kuvs quickmoving nimblefooted protectors meeting threat breed’s fans say elegantly proportioned head “is considered beautiful part kuvasz” snowwhite kuvasz hungarys majestic guardian flocks companion kings working dog impressive size strength imposing thickly coated kuvasz beautiful smart profoundly loyal challenging breed loyal fearless sweet working weekly brushing regularly regular exercise independent reserved strangers medium tall medium
labrador retriever,sturdy wellbalanced labrador retriever depending sex stand 215 245 inches shoulder weigh 55 80 pounds dense hard coat comes yellow black luscious chocolate head wide eyes glimmer kindliness thick tapering “otter tail” seems forever signaling breed’s innate eagernesslabs famously friendly companionable housemates bond whole family socialize well neighbor dogs humans alike don’t mistake easygoing personality low energy lab enthusiastic athlete requires lots exercise like swimming marathon games fetch keep physically mentally fit sweetfaced lovable labrador retriever america’s popular dog breed labs friendly outgoing highspirited companions enough affection go around family looking mediumtolarge dog friendly active outgoing sporting weekly brushing regularly needs lots activity eager please outgoing medium medium light
lagotto romagnolo,italians word “carino” english say “cute” language breed totally endearing lagotto romagnolo plural lagotti romagnoli known wooly curls cover body head tail crowned lavish beard eyebrows whiskers lagotti stand 20 inches weigh 35 pounds don’t fooled teddybear looks—these rugged workers true strength endurance breed’s trademark curls feel behave like human hair fur lagotto romagnolo italy’s adorable “truffle dog” sports curly coat lavish facial furnishings despite plushtoy looks lagotti durable workers excellent nose root truffles dainty pricey delicacy affectionate keen undemanding sporting occasional bathbrush infrequent regular exercise eager please alertresponsive long medium light
lakeland terrier,square sturdy lakelands standing less 15 inches shoulder weighing 17 pounds small dogs don’t tell cockofthewalk swagger lakelands personify old doglover’s cliché “a big dog small package” come several colors sporty saddle mark backwith folded vshaped ears straight front rectangular head mischievous twinkle eye lakelands blueprint longlegged british terrier bold zesty “big dog small package” lakeland terrier named lake district native england farmer’s dog bred work packs sheepstealing foxes lakelands coat hard wiry lowshedding friendly confident bold terrier weekly brushing infrequent regular exercise agreeable alertresponsive medium short light
lancashire heeler,small powerful sturdily built alert energetic worker lancashire heeler works cattle terrier instincts rabbiting ratting unique characteristic called heeler smile content heelers known draw back lips effort emulates human smile 2003 breed placed endangered breeds list kennel club uk due small number dogs composing gene pool risk several inherited diseases united states lancashire heeler clubname sheryl bradburyemail sherylbradburywindstreamnetphone 8163082424 lancashire heeler medium high energy dog intelligent alert friendly quick learn new tasks sturdy little dog short weatherresistant coat black tan liver tan affectionate owners always happy talkative always ready walk small size gives charm affectionate versatile intelligent miscellaneous class occasional bathbrush seasonal energetic easy training friendly medium short light
lapponian herder,lapponian herder independent fun breed intelligent generally eager please highenergy herding breed excel many dog sports besides herding companion events love hard work makes wonderful breed event competitive fun early socialization important herding mentality thrive job though eager please lapponian herder vocal often barks working breed contactname heidi christensonaddress 519 nw 209th street ridgefield wa 98642email girln2poochesyahoocomphone 3606092942 lapponian herder mediumsized dog medium coat making easy maintain perfect experienced dog owner wonderful rounded diversified dog breed ready problem solve task given fit living environments long given jobs breed comes many colors including greybrown black often lighter undercoats white tan markings aloof strangers love people friendly energetic intelligent foundation stock service weekly brushing seasonal regular exercise eager please reserved strangers medium medium light
leonberger,huge powerful dog yes leonberger also known aristocratic grace elegance male stand 31 inches shoulder weigh much fullgrown human females run smaller still whole lot dog breed hallmarks include mediumlong waterproof coat lush triangular ears bushy tail black facemask frames kindly darkbrown eyes dramatic feature male’s coat lionlike mane around neck chest wellbuilt leo moves easy elastic gait leo friendly nobody’s fool watchdogs allaround workers exhibit intelligence sound judgment leos require lots brushing ample room romping unlimited love leonberger lushcoated giant german origin gentle nature serene patience relish companionship whole family friendly gentle playful working daily brushing regularly regular exercise eager please friendly short tall medium
lhasa apso,standing less foot high shoulder lhasas small hardy dogs aristocratic bearing they’re famous floorlength flathanging coat parted middle draping side body feathery tail curls back distinct manner tibetan breeds breed’s fans say dark ovalshaped eyes—peeping lavish facial hair—are windows lhasa’s merry soul complete picture unmistakably asian exotic elegant serenely well balanced lavishly coated lhasa apso thousandyearold breed served sentinels palaces monasteries isolated high himalayas smart confident complex lhasas family comedians regally aloof strangers confident smart comical nonsporting 23 times week brushing infrequent regular exercise independent reserved strangers medium short light
löwchen,small dogs enormous heart löwchen singular plural stand bit foot tall shoulder coat traditionally kept “lion clip” hindquarters tail clipped close skin overall effect mini lion full mane plumed tail coat comes several colors color combinations beneath coat dog that’s strong sturdy elegant artfully balanced companion dog whose name german “little lion” löwchen popular pet among continental europeans 500 years portable nonshedding löwchen said affectionate lively brave lion affectionate outgoing positive nonsporting occasional bathbrush infrequent regular exercise agreeable outgoing medium short light
maltese,maltese affectionate toy dogs weighing less seven pounds covered long straight silky coat beneath allwhite mantle compact body moving smooth effortless gait overall picture depicts freeflowing elegance balance irresistible maltese face—with big dark eyes black gumdrop nose—can conquer jaded sensibilitydespite aristocratic bearing maltese hardy adaptable pets make alert watchdogs fearless charming toydog way game little athletes agility course maltese lowshedding longlived happy make new friends ages sometimes stubborn willful respond well rewardsbased training tiny maltese “ye ancient dogge malta” sitting lap luxury since bible work progress famous showstopping floorlength coat maltese playful charming adaptable toy companions gentle playful charming toy daily brushing infrequent regular exercise agreeable outgoing medium short light
manchester terrier (standard),manchesters similar temperament body type athletic ability despite differences size they’re easily recognized tight coat rich mahogany tan jet black head long wedgeshaped tan spots eye point watchful expression manchesters motor running good reach front propulsive rear drive powered muscular caboose manchester terrier named english city much breed’s early development took place sleek racy dogs possess terrier’s ratting instinct graceful contours coursing hounds manchesters spirited bright athletic combine streamlined grace coursing hound instincts fearless rat terrier racy dogs come two size varieties standard exceeding 22 pounds toy exceeding 12 pounds spirited bright keenly observant terrier weekly brushing occasional regular exercise easy training alertresponsive long short light
manchester terrier (toy),manchesters combine streamlined grace small coursing hound instincts fearless rat terrier racy little dogs come two size varieties toy exceeding 12 pounds standard exceeding 22 pounds manchesters similar temperament body type athletic ability despite differences size they’re easily recognized tight coat rich mahogany tan jet black head long wedgeshaped tan spots eye point watchful expression manchesters motor running good reach front propulsive rear drive powered muscular caboose manchester terrier named english city much breed’s early development took place sleek racy dogs possess terrier’s ratting instinct graceful contours coursing hounds manchesters spirited bright athletic combine streamlined grace coursing hound instincts fearless rat terrier racy dogs come two size varieties toy exceeding 12 pounds standard exceeding 22 pounds agile spirited intelligent toy weekly brushing occasional regular exercise easy training alertresponsive long short light
mastiff,uninitiated facetoface encounter blackmasked giants startling male stands least 30 inches shoulder outweigh many fullgrown man rectangular body deep thickly muscled covered short double coat fawn apricot brindle stripes head broad massive wrinkled forehead accentuates alert kindly expression mastiffs patient lovable companions guardians take best gentle training eternally loyal mastiffs protective family natural wariness strangers makes early training socialization essential mastiffs magnificent pets acquiring powerful giantbreed dog commitment taken lightly colossal mastiff belongs canine clan ancient civilization massive heavyboned dog courage prodigious strength mastiff docile dignified also formidable protector hold dear courageous dignified goodnatured working occasional bathbrush occasional regular exercise agreeable alertresponsive short tall heavy
miniature american shepherd,miniature american shepherd shares many physical traits forebear australian shepherd—only smaller scale females stand 13 17 inches shoulder males range 14 18 inches despite size minis every inch true herding dog energetic versatile rugged extremely bright eyecatching coat comes black blue merle red red merle merle exhibit amount marbling flecks blotches minis move smooth agile step dog built hard work punishing terrain miniature american shepherd resembles small australian shepherd true herders spite compact size minis bright selfmotivated workers endearingly loyal lively companion dogs affinity horses goodnatured intelligent devoted herding daily brushing frequent energetic eager please friendly medium short light
miniature bull terrier,nearly every way mini bull terrier smaller fact 1991 akc classified two bullys varieties breed minis stand 10 14 inches shoulder they’re square muscular size quite strong trademark large eggshaped head dark triangular eyes twinkle mischief it’s impossible mistake bull terrier breeds coat pure white white predominate colored markings every way miniature bull terrier bull terrier smaller upbeat mischievous dogs come equipped terrier fire fearlessness ever dog could claim title “clown prince dogdom” it’s mini upbeat mischievous comical terrier occasional bathbrush occasional energetic independent alertresponsive medium short light
miniature pinscher,min pins sturdy compact dogs standing 125 inches shoulder smooth shiny coat comes two shades solid red chocolateandrust blackandrust dark slightly oval eyes highset ears help bring selfpossessed “big dog” personality distinguishing characteristic min pin’s highstepping “hackney” gait reminiscent hackney horse trot leggy miniature pinscher known fans “king toys” proud fearless funloving toy breed lustrous coat compact wedgeshaped physique true personality dog known highstepping “hackney” gait fearless funloving proud toy occasional bathbrush infrequent regular exercise independent alertresponsive medium short light
miniature schnauzer,stocky robust little dogs standing 12 14 inches miniature schnauzers bred larger cousins standard schnauzers bushy beard eyebrows give minis charming humanlike expression hard wiry coat comes three color patterns salt pepper black silver solid black created allaround farm dogs ratters tough muscular fearless without aggressivethe miniature schnauzer bright friendly trainable companion small enough adapt apartment life tireless enough patrol acres farmland get along well animals kids minis sturdy little guys enjoy vigorous play home family oriented make great watchdogs miniature schnauzer smallest three schnauzer breeds generally healthy longlived lowshedding companion add outgoing personality portable size sporty good looks you’ve got ideal family dog friendly smart obedient terrier specialtyprofessional infrequent regular exercise eager please alertresponsive medium short light
mountain cur,mountain cur fast hard hunter runs track head air open semiopen silent track clear bark heard long distance circle drift cold track hot one available locate hot track courageous fighters required extremely intelligent strong treeing instincts easily trained leave unwanted game respond best training lot human contact addition hunting make great companions watch dogs breed contactname mandy middletonaddress 417 n water street georgetown oh 45121phone 9373786900email walnutridgemtncursyahoocom mountain cur hunting dog good treeing instinct courageous fighter extremely intelligent whatever job master desires dogs crucial part cultures early pioneers settlers homesteaders intelligent strongwilled reserved strangers foundation stock service occasional bathbrush seasonal needs lots activity may stubborn reserved strangers medium medium light
mudi,mudi pronounced “moodie” mediumsized herding dog hungary existence since 19th century said mudi evolved naturally crosses puli pumi german spitz breeds today mudi though rare seen active intelligent biddable working breed estimated thousand mudi worldwide greatest numbers hungary followed finland even scarcer throughout europe us canada mudi excels agility obedience flyball well dog sports true working breed shines herding cattle sheep found fame search rescue dog finland us club contact detailsclub mudi club americaname susanne andersonemail sande2404gmailcom mudi extremely versatile intelligent alert agile allpurpose hungarian farm dog courage useful working stubborn livestock breed loyal protector property family members without overly aggressive loyal intelligent active miscellaneous class occasional bathbrush occasional needs lots activity eager please reserved strangers medium medium light
neapolitan mastiff,unless you’ve jurassic park you’ve never seen anything like mastino majestic guardians startling appearance massive powerful dogs us neapolitan mastiff club describes dog’s head “astounding”—and give credit hitting upon right adjective profuse hanging wrinkles folds pendulous lips make mastino look like marzipan mastiff that’s sun long yet breed’s inner dignity nobility described beautiful neapolitan mastiff huge powerful guarder whose astounding appearance intimidated intruders since days ancient rome wary strangers profusely wrinkled mastino sweet placid steady among loved ones loyal dignified watchful working weekly brushing seasonal regular exercise may stubborn aloofwary short tall medium
nederlandse kooikerhondje,kooikerhondje koikerhondyuh—the “little white orange dog big heart”—is sporty eyecatching fellow silky allweather coat white red patches instantly recognizable thanks large blacktipped ears richly feathered tail wag proudly breed sturdy bone structure expected serious hunter overall picture harmoniously built dog smooth flowing contours springy gait nederlandse kooikerhondje lively agile selfconfident goodnatured alert breed faithful easygoing friendly home outdoors true sporting dog keen swift tough attentive energetic sufficient perseverance stamina enjoys working cheerful character friendly alert quick sporting weekly brushing seasonal regular exercise eager please reserved strangers medium short light
newfoundland,male newfoundland weigh 150 pounds stand 28 inches shoulder females typically go 100 120 pounds newf head majestic expression soft soulful outer coat flat coarse colors gray brown black blackandwhite coat named artist sir edwin landseer popularized look paintingsthe newfie breed standard says sweet temperament “most important single characteristic breed” newf’s sterling character expressed affinity kids trusting trainable newfs respond well gentle guidance noble giants among world’s biggest dogs acquiring pet could outweigh comes obvious challenges massive newfoundland strikingly large powerful working dog heavy bone dignified bearing sweettempered newfie famously good companion earned reputation patient watchful “nanny dog” kids sweet patient devoted working weekly brushing seasonal regular exercise easy training friendly short tall medium
norfolk terrier,norfolk terriers among smallest working terriers standing higher 10 inches shoulder coat hard wiry straight share many traits close cousins norwich terriers tell apart look ears norwich erect pointed ears norfolk ears neatly folded overbred work packs norfolks gregarious typical terrier plenty old terrier pep norfolks days earn living hunting rodents good one fearlessly given chance norfolks bond closely sometimes jealously owners make nice watchdogs reputation good traveler portable adaptable anything norfolk terriers little cute loyal gladly curl lap don’t dare call lapdogs norfolks despite toyish qualities genuine terriers—feisty confident sturdy game adventure fearless alert funloving terrier weekly brushing seasonal regular exercise agreeable friendly medium short light
norrbottenspets,nobs aren’t large dogs big male stands shade 20 inches tough sinewy bodies built withstand punishing terrain harsh climates smallsized hunting dog spitztype thought extinct survived farm hunting dog northern parts sweden finland able navigate rough terrain climate scandinavian forests hold large dangerous game like moose norrbottenspets evolved extremely agile rugged weatherproof fearless attitude time kind affectionate companions home exhibit extremes physical characteristics must things well norrbottenspets small slightly rectangular spitzdog well poised sinewy welldeveloped muscles alert head carried high fearless attitude extremely agile calm keen attentive kind disposition fearless agile attentive miscellaneous class weekly brushing occasional energetic nan nan medium medium light
norwegian buhund,buhund prototypical spitz provides good opportunity explain term spitz coldweather breeds characterized dense coat tail curved tightly back wedgeshaped head erect pointed ears “spitz” means “pointed” ancient german pintsized like pomeranians mighty like malamutes midsized like lithe sturdy buhund males stand 185 inches high weight 40 pounds coat colors wheaten black densely coated norwegian buhund nordic spitztype closely associated vikings mediumsized coldweather worker adept herding guarding family dogs buhunds smart affectionate steadfastly devoted confident smart perceptive herding weekly brushing seasonal energetic easy training friendly medium medium light
norwegian elkhound,norwegian elkhounds hardy shortbodied dogs standing 20 inches shoulder dense silvergray coat tail curling tightly back deep chest sturdy legs muscular thighs belong dog built honest day’s work eyes dark brown ears mobile erect overall elkhound picture alert steadfast dog northelkhounds famously fine companions intelligent watchdogs agility herding trials good outlets natural athleticism eagerness reserved introductions made elkhound trustworthy friend ever strong confident dogs truly sensitive souls dash houndy independence norwegian elkhound robust spitz type known lush silvergray coat dignified friendly demeanor durable elkhound among europes oldest dogs sailed vikings figure norse art legend friendly confident dependable hound weekly brushing seasonal regular exercise agreeable friendly medium medium light
